commodity,state,time,country,total_import_values
111 Agricultural Products,South Carolina,2017,World Total,"449,360,800"
111 Agricultural Products,South Carolina,2018,World Total,"483,095,422"
111 Agricultural Products,South Dakota,2014,World Total,"19,046,316"
111 Agricultural Products,South Dakota,2015,World Total,"16,725,720"
111 Agricultural Products,South Dakota,2016,World Total,"11,949,665"
111 Agricultural Products,South Dakota,2017,World Total,"12,259,927"
111 Agricultural Products,South Dakota,2018,World Total,"18,177,515"
111 Agricultural Products,Tennessee,2014,World Total,"58,363,830"
111 Agricultural Products,Tennessee,2015,World Total,"51,704,699"
111 Agricultural Products,Tennessee,2016,World Total,"48,957,999"
111 Agricultural Products,Tennessee,2017,World Total,"56,288,598"
111 Agricultural Products,Tennessee,2018,World Total,"42,228,727"
111 Agricultural Products,Texas,2014,World Total,"3,521,201,667"
111 Agricultural Products,Texas,2015,World Total,"3,732,521,595"
111 Agricultural Products,Texas,2016,World Total,"4,002,503,606"
111 Agricultural Products,Texas,2017,World Total,"4,170,026,610"
111 Agricultural Products,Texas,2018,World Total,"4,520,311,923"
111 Agricultural Products,US Virgin Islands,2014,World Total,"213,803"
111 Agricultural Products,US Virgin Islands,2015,World Total,"85,969"
111 Agricultural Products,US Virgin Islands,2016,World Total,"321,615"
111 Agricultural Products,US Virgin Islands,2017,World Total,"212,005"
111 Agricultural Products,US Virgin Islands,2018,World Total,"61,913"
111 Agricultural Products,Utah,2014,World Total,"45,392,141"
111 Agricultural Products,Utah,2015,World Total,"41,202,640"
111 Agricultural Products,Utah,2016,World Total,"51,216,678"
111 Agricultural Products,Utah,2017,World Total,"44,876,548"
111 Agricultural Products,Utah,2018,World Total,"46,998,809"
111 Agricultural Products,Vermont,2014,World Total,"87,157,631"
111 Agricultural Products,Vermont,2015,World Total,"79,680,012"
111 Agricultural Products,Vermont,2016,World Total,"81,585,669"
111 Agricultural Products,Vermont,2017,World Total,"73,886,936"
111 Agricultural Products,Vermont,2018,World Total,"84,544,022"
111 Agricultural Products,Virginia,2014,World Total,"1,141,646,349"
111 Agricultural Products,Virginia,2015,World Total,"874,214,073"
111 Agricultural Products,Virginia,2016,World Total,"848,329,812"
111 Agricultural Products,Virginia,2017,World Total,"940,506,011"
111 Agricultural Products,Virginia,2018,World Total,"730,813,862"
111 Agricultural Products,Washington,2014,World Total,"786,783,797"
111 Agricultural Products,Washington,2015,World Total,"924,818,532"
111 Agricultural Products,Washington,2016,World Total,"1,018,405,257"
111 Agricultural Products,Washington,2017,World Total,"1,022,592,767"
111 Agricultural Products,Washington,2018,World Total,"1,041,093,130"
111 Agricultural Products,West Virginia,2014,World Total,"578,292"
111 Agricultural Products,West Virginia,2015,World Total,"520,716"
111 Agricultural Products,West Virginia,2016,World Total,"269,312"
111 Agricultural Products,West Virginia,2017,World Total,"523,398"
111 Agricultural Products,West Virginia,2018,World Total,"416,369"
111 Agricultural Products,Wisconsin,2014,World Total,"205,368,970"
111 Agricultural Products,Wisconsin,2015,World Total,"265,296,021"
111 Agricultural Products,Wisconsin,2016,World Total,"183,137,909"
111 Agricultural Products,Wisconsin,2017,World Total,"229,837,119"
111 Agricultural Products,Wisconsin,2018,World Total,"264,572,789"
111 Agricultural Products,Wyoming,2014,World Total,"1,633,694"
111 Agricultural Products,Wyoming,2015,World Total,"1,346,460"
111 Agricultural Products,Wyoming,2016,World Total,"2,144,935"
111 Agricultural Products,Wyoming,2017,World Total,"1,609,249"
111 Agricultural Products,Wyoming,2018,World Total,"1,048,831"
111 Agricultural Products,Unknown,2014,World Total,"5,207"
111 Agricultural Products,Unknown,2015,World Total,"228,218"
111 Agricultural Products,Unknown,2016,World Total,"122,722"
111 Agricultural Products,Unknown,2017,World Total,"233,302"
111 Agricultural Products,Unknown,2018,World Total,"502,049"
112 Livestock & Livestock Products,Alabama,2014,World Total,"2,681,123"
112 Livestock & Livestock Products,Alabama,2015,World Total,"3,113,082"
112 Livestock & Livestock Products,Alabama,2016,World Total,"3,774,395"
112 Livestock & Livestock Products,Alabama,2017,World Total,"7,818,353"
112 Livestock & Livestock Products,Alabama,2018,World Total,"7,808,914"
112 Livestock & Livestock Products,Alaska,2014,World Total,"285,891"
112 Livestock & Livestock Products,Alaska,2015,World Total,"580,490"
112 Livestock & Livestock Products,Alaska,2016,World Total,"864,613"
112 Livestock & Livestock Products,Alaska,2017,World Total,"712,519"
112 Livestock & Livestock Products,Alaska,2018,World Total,"720,863"
112 Livestock & Livestock Products,Arizona,2014,World Total,"150,262,955"
112 Livestock & Livestock Products,Arizona,2015,World Total,"183,808,516"
112 Livestock & Livestock Products,Arizona,2016,World Total,"147,492,185"
112 Livestock & Livestock Products,Arizona,2017,World Total,"192,184,549"
112 Livestock & Livestock Products,Arizona,2018,World Total,"190,281,390"
112 Livestock & Livestock Products,Arkansas,2014,World Total,"976,179"
112 Livestock & Livestock Products,Arkansas,2015,World Total,"2,391,729"
112 Livestock & Livestock Products,Arkansas,2016,World Total,"3,456,317"
112 Livestock & Livestock Products,Arkansas,2017,World Total,"2,905,165"
112 Livestock & Livestock Products,Arkansas,2018,World Total,"3,069,828"
112 Livestock & Livestock Products,California,2014,World Total,"430,962,288"
112 Livestock & Livestock Products,California,2015,World Total,"480,349,846"
112 Livestock & Livestock Products,California,2016,World Total,"656,076,498"
112 Livestock & Livestock Products,California,2017,World Total,"750,918,629"
112 Livestock & Livestock Products,California,2018,World Total,"734,481,854"
112 Livestock & Livestock Products,Colorado,2014,World Total,"119,873,775"
112 Livestock & Livestock Products,Colorado,2015,World Total,"89,961,072"
112 Livestock & Livestock Products,Colorado,2016,World Total,"88,836,569"
112 Livestock & Livestock Products,Colorado,2017,World Total,"62,108,722"
112 Livestock & Livestock Products,Colorado,2018,World Total,"80,678,936"
112 Livestock & Livestock Products,Connecticut,2014,World Total,"3,461,871"
112 Livestock & Livestock Products,Connecticut,2015,World Total,"4,055,637"
112 Livestock & Livestock Products,Connecticut,2016,World Total,"6,447,582"
112 Livestock & Livestock Products,Connecticut,2017,World Total,"4,719,540"
112 Livestock & Livestock Products,Connecticut,2018,World Total,"4,400,585"
112 Livestock & Livestock Products,Delaware,2014,World Total,"47,526"
112 Livestock & Livestock Products,Delaware,2015,World Total,"101,408"
112 Livestock & Livestock Products,Delaware,2016,World Total,"210,687"
112 Livestock & Livestock Products,Delaware,2017,World Total,"1,748,914"
112 Livestock & Livestock Products,Delaware,2018,World Total,"2,309,755"
112 Livestock & Livestock Products,Dist of Columbia,2014,World Total,"5,701,388"
112 Livestock & Livestock Products,Dist of Columbia,2015,World Total,"8,496,488"
112 Livestock & Livestock Products,Dist of Columbia,2016,World Total,"15,817,618"
112 Livestock & Livestock Products,Dist of Columbia,2017,World Total,"26,341,112"
112 Livestock & Livestock Products,Dist of Columbia,2018,World Total,"31,684,656"
112 Livestock & Livestock Products,Florida,2014,World Total,"897,172,159"
112 Livestock & Livestock Products,Florida,2015,World Total,"940,236,170"
112 Livestock & Livestock Products,Florida,2016,World Total,"985,687,415"
112 Livestock & Livestock Products,Florida,2017,World Total,"1,068,791,679"
112 Livestock & Livestock Products,Florida,2018,World Total,"1,370,814,893"
112 Livestock & Livestock Products,Georgia,2014,World Total,"87,928,425"
112 Livestock & Livestock Products,Georgia,2015,World Total,"28,925,042"
112 Livestock & Livestock Products,Georgia,2016,World Total,"102,700,020"
112 Livestock & Livestock Products,Georgia,2017,World Total,"120,946,377"
112 Livestock & Livestock Products,Georgia,2018,World Total,"93,262,169"
112 Livestock & Livestock Products,Hawaii,2014,World Total,"3,755,130"
112 Livestock & Livestock Products,Hawaii,2015,World Total,"5,185,919"
112 Livestock & Livestock Products,Hawaii,2016,World Total,"7,553,268"
112 Livestock & Livestock Products,Hawaii,2017,World Total,"14,070,074"
112 Livestock & Livestock Products,Hawaii,2018,World Total,"16,600,549"
112 Livestock & Livestock Products,Idaho,2014,World Total,"13,046,967"
112 Livestock & Livestock Products,Idaho,2015,World Total,"14,179,754"
112 Livestock & Livestock Products,Idaho,2016,World Total,"14,597,773"
112 Livestock & Livestock Products,Idaho,2017,World Total,"15,560,064"
112 Livestock & Livestock Products,Idaho,2018,World Total,"17,268,747"
112 Livestock & Livestock Products,Illinois,2014,World Total,"72,362,217"
112 Livestock & Livestock Products,Illinois,2015,World Total,"84,921,700"
112 Livestock & Livestock Products,Illinois,2016,World Total,"93,833,443"
112 Livestock & Livestock Products,Illinois,2017,World Total,"113,886,816"
112 Livestock & Livestock Products,Illinois,2018,World Total,"121,062,032"
112 Livestock & Livestock Products,Indiana,2014,World Total,"19,939,675"
112 Livestock & Livestock Products,Indiana,2015,World Total,"20,052,287"
112 Livestock & Livestock Products,Indiana,2016,World Total,"17,138,165"
112 Livestock & Livestock Products,Indiana,2017,World Total,"22,116,644"
112 Livestock & Livestock Products,Indiana,2018,World Total,"15,647,858"
112 Livestock & Livestock Products,Iowa,2014,World Total,"228,508,675"
112 Livestock & Livestock Products,Iowa,2015,World Total,"234,877,643"
112 Livestock & Livestock Products,Iowa,2016,World Total,"170,146,366"
112 Livestock & Livestock Products,Iowa,2017,World Total,"160,337,010"
112 Livestock & Livestock Products,Iowa,2018,World Total,"156,938,962"
112 Livestock & Livestock Products,Kansas,2014,World Total,"47,815,464"
112 Livestock & Livestock Products,Kansas,2015,World Total,"46,597,971"
112 Livestock & Livestock Products,Kansas,2016,World Total,"31,670,215"
112 Livestock & Livestock Products,Kansas,2017,World Total,"23,071,822"
112 Livestock & Livestock Products,Kansas,2018,World Total,"21,924,521"
112 Livestock & Livestock Products,Kentucky,2014,World Total,"25,662,943"
112 Livestock & Livestock Products,Kentucky,2015,World Total,"47,662,690"
112 Livestock & Livestock Products,Kentucky,2016,World Total,"57,469,548"
112 Livestock & Livestock Products,Kentucky,2017,World Total,"57,715,110"
112 Livestock & Livestock Products,Kentucky,2018,World Total,"35,152,381"
112 Livestock & Livestock Products,Louisiana,2014,World Total,"1,955,708"
112 Livestock & Livestock Products,Louisiana,2015,World Total,"3,157,020"
112 Livestock & Livestock Products,Louisiana,2016,World Total,"2,736,842"
112 Livestock & Livestock Products,Louisiana,2017,World Total,"1,455,082"
112 Livestock & Livestock Products,Louisiana,2018,World Total,"970,252"
112 Livestock & Livestock Products,Maine,2014,World Total,"26,576,168"
112 Livestock & Livestock Products,Maine,2015,World Total,"46,868,059"
112 Livestock & Livestock Products,Maine,2016,World Total,"49,898,187"
112 Livestock & Livestock Products,Maine,2017,World Total,"52,485,148"
112 Livestock & Livestock Products,Maine,2018,World Total,"46,287,796"
112 Livestock & Livestock Products,Maryland,2014,World Total,"36,501,988"
112 Livestock & Livestock Products,Maryland,2015,World Total,"31,964,867"
112 Livestock & Livestock Products,Maryland,2016,World Total,"39,864,857"
112 Livestock & Livestock Products,Maryland,2017,World Total,"35,728,369"
112 Livestock & Livestock Products,Maryland,2018,World Total,"39,647,180"
112 Livestock & Livestock Products,Massachusetts,2014,World Total,"219,372,190"
112 Livestock & Livestock Products,Massachusetts,2015,World Total,"189,379,314"
112 Livestock & Livestock Products,Massachusetts,2016,World Total,"269,323,116"
112 Livestock & Livestock Products,Massachusetts,2017,World Total,"323,232,995"
112 Livestock & Livestock Products,Massachusetts,2018,World Total,"320,797,803"
112 Livestock & Livestock Products,Michigan,2014,World Total,"156,965,895"
112 Livestock & Livestock Products,Michigan,2015,World Total,"126,810,470"
112 Livestock & Livestock Products,Michigan,2016,World Total,"91,366,153"
112 Livestock & Livestock Products,Michigan,2017,World Total,"78,019,761"
112 Livestock & Livestock Products,Michigan,2018,World Total,"73,235,724"
112 Livestock & Livestock Products,Minnesota,2014,World Total,"382,915,874"
112 Livestock & Livestock Products,Minnesota,2015,World Total,"287,850,340"
112 Livestock & Livestock Products,Minnesota,2016,World Total,"194,824,841"
112 Livestock & Livestock Products,Minnesota,2017,World Total,"168,195,139"
112 Livestock & Livestock Products,Minnesota,2018,World Total,"150,986,068"
112 Livestock & Livestock Products,Mississippi,2014,World Total,"176,870"
112 Livestock & Livestock Products,Mississippi,2015,World Total,"979,355"
112 Livestock & Livestock Products,Mississippi,2016,World Total,"619,995"
112 Livestock & Livestock Products,Mississippi,2017,World Total,"438,778"
112 Livestock & Livestock Products,Mississippi,2018,World Total,"170,714"
112 Livestock & Livestock Products,Missouri,2014,World Total,"12,800,016"
112 Livestock & Livestock Products,Missouri,2015,World Total,"7,980,680"
112 Livestock & Livestock Products,Missouri,2016,World Total,"10,896,422"
112 Livestock & Livestock Products,Missouri,2017,World Total,"10,641,119"
112 Livestock & Livestock Products,Missouri,2018,World Total,"4,043,665"
112 Livestock & Livestock Products,Montana,2014,World Total,"12,739,221"
112 Livestock & Livestock Products,Montana,2015,World Total,"8,482,724"
112 Livestock & Livestock Products,Montana,2016,World Total,"8,251,779"
112 Livestock & Livestock Products,Montana,2017,World Total,"7,585,773"
112 Livestock & Livestock Products,Montana,2018,World Total,"9,010,731"
112 Livestock & Livestock Products,Nebraska,2014,World Total,"320,959,322"
112 Livestock & Livestock Products,Nebraska,2015,World Total,"210,695,636"
112 Livestock & Livestock Products,Nebraska,2016,World Total,"106,794,682"
112 Livestock & Livestock Products,Nebraska,2017,World Total,"59,288,878"
112 Livestock & Livestock Products,Nebraska,2018,World Total,"86,074,224"
112 Livestock & Livestock Products,Nevada,2014,World Total,"7,997,681"
112 Livestock & Livestock Products,Nevada,2015,World Total,"13,075,591"
112 Livestock & Livestock Products,Nevada,2016,World Total,"14,023,827"
112 Livestock & Livestock Products,Nevada,2017,World Total,"14,306,639"
112 Livestock & Livestock Products,Nevada,2018,World Total,"22,356,173"
112 Livestock & Livestock Products,New Hampshire,2014,World Total,"3,893,790"
112 Livestock & Livestock Products,New Hampshire,2015,World Total,"7,139,095"
112 Livestock & Livestock Products,New Hampshire,2016,World Total,"4,066,846"
112 Livestock & Livestock Products,New Hampshire,2017,World Total,"1,161,712"
112 Livestock & Livestock Products,New Hampshire,2018,World Total,"1,623,298"
112 Livestock & Livestock Products,New Jersey,2014,World Total,"240,910,641"
112 Livestock & Livestock Products,New Jersey,2015,World Total,"270,338,742"
112 Livestock & Livestock Products,New Jersey,2016,World Total,"196,175,974"
112 Livestock & Livestock Products,New Jersey,2017,World Total,"181,631,906"
112 Livestock & Livestock Products,New Jersey,2018,World Total,"150,378,771"
112 Livestock & Livestock Products,New Mexico,2014,World Total,"41,724,023"
112 Livestock & Livestock Products,New Mexico,2015,World Total,"45,385,138"
112 Livestock & Livestock Products,New Mexico,2016,World Total,"37,742,448"
112 Livestock & Livestock Products,New Mexico,2017,World Total,"68,677,604"
112 Livestock & Livestock Products,New Mexico,2018,World Total,"129,846,686"
112 Livestock & Livestock Products,New York,2014,World Total,"381,158,480"
112 Livestock & Livestock Products,New York,2015,World Total,"368,875,926"
112 Livestock & Livestock Products,New York,2016,World Total,"492,643,453"
112 Livestock & Livestock Products,New York,2017,World Total,"620,749,407"
112 Livestock & Livestock Products,New York,2018,World Total,"586,643,465"
112 Livestock & Livestock Products,North Carolina,2014,World Total,"94,004,861"
112 Livestock & Livestock Products,North Carolina,2015,World Total,"85,108,938"
112 Livestock & Livestock Products,North Carolina,2016,World Total,"60,855,839"
112 Livestock & Livestock Products,North Carolina,2017,World Total,"57,572,456"
112 Livestock & Livestock Products,North Carolina,2018,World Total,"60,287,575"
112 Livestock & Livestock Products,North Dakota,2014,World Total,"17,395,433"
