"commodity","state","time","country","total_exports_value"
"111 Agricultural Products","Dist of Columbia","2014","World Total","1,200,715"
"111 Agricultural Products","Dist of Columbia","2015","World Total","1,177,245"
"111 Agricultural Products","Dist of Columbia","2016","World Total","1,664,902"
"111 Agricultural Products","Dist of Columbia","2017","World Total","3,928,526"
"111 Agricultural Products","Dist of Columbia","2018","World Total","403,443"
"111 Agricultural Products","Florida","2014","World Total","834,254,234"
"111 Agricultural Products","Florida","2015","World Total","800,563,110"
"111 Agricultural Products","Florida","2016","World Total","788,683,722"
"111 Agricultural Products","Florida","2017","World Total","771,342,993"
"111 Agricultural Products","Florida","2018","World Total","803,140,067"
"111 Agricultural Products","Georgia","2014","World Total","1,181,972,380"
"111 Agricultural Products","Georgia","2015","World Total","965,782,080"
"111 Agricultural Products","Georgia","2016","World Total","1,048,192,457"
"111 Agricultural Products","Georgia","2017","World Total","1,118,696,238"
"111 Agricultural Products","Georgia","2018","World Total","1,020,344,005"
"111 Agricultural Products","Hawaii","2014","World Total","20,973,086"
"111 Agricultural Products","Hawaii","2015","World Total","29,491,942"
"111 Agricultural Products","Hawaii","2016","World Total","27,145,047"
"111 Agricultural Products","Hawaii","2017","World Total","27,618,205"
"111 Agricultural Products","Hawaii","2018","World Total","27,754,754"
"111 Agricultural Products","Idaho","2014","World Total","268,758,399"
"111 Agricultural Products","Idaho","2015","World Total","237,247,103"
"111 Agricultural Products","Idaho","2016","World Total","240,141,731"
"111 Agricultural Products","Idaho","2017","World Total","247,225,060"
"111 Agricultural Products","Idaho","2018","World Total","239,194,091"
"111 Agricultural Products","Illinois","2014","World Total","3,204,301,147"
"111 Agricultural Products","Illinois","2015","World Total","2,539,614,924"
"111 Agricultural Products","Illinois","2016","World Total","3,245,310,357"
"111 Agricultural Products","Illinois","2017","World Total","2,880,106,751"
"111 Agricultural Products","Illinois","2018","World Total","2,187,119,137"
"111 Agricultural Products","Indiana","2014","World Total","91,554,501"
"111 Agricultural Products","Indiana","2015","World Total","108,402,568"
"111 Agricultural Products","Indiana","2016","World Total","90,971,154"
"111 Agricultural Products","Indiana","2017","World Total","141,866,081"
"111 Agricultural Products","Indiana","2018","World Total","94,615,203"
"111 Agricultural Products","Iowa","2014","World Total","1,914,163,480"
"111 Agricultural Products","Iowa","2015","World Total","1,569,133,439"
"111 Agricultural Products","Iowa","2016","World Total","1,515,199,375"
"111 Agricultural Products","Iowa","2017","World Total","1,510,362,076"
"111 Agricultural Products","Iowa","2018","World Total","1,993,309,952"
"111 Agricultural Products","Kansas","2014","World Total","1,990,055,750"
"111 Agricultural Products","Kansas","2015","World Total","1,412,907,897"
"111 Agricultural Products","Kansas","2016","World Total","1,591,423,683"
"111 Agricultural Products","Kansas","2017","World Total","1,577,482,019"
"111 Agricultural Products","Kansas","2018","World Total","1,379,435,469"
"111 Agricultural Products","Kentucky","2014","World Total","56,578,228"
"111 Agricultural Products","Kentucky","2015","World Total","41,016,980"
"111 Agricultural Products","Kentucky","2016","World Total","26,004,969"
"111 Agricultural Products","Kentucky","2017","World Total","26,171,946"
"111 Agricultural Products","Kentucky","2018","World Total","31,885,724"
"111 Agricultural Products","Louisiana","2014","World Total","17,551,420,740"
"111 Agricultural Products","Louisiana","2015","World Total","14,573,237,956"
"111 Agricultural Products","Louisiana","2016","World Total","16,354,351,969"
"111 Agricultural Products","Louisiana","2017","World Total","15,720,605,894"
"111 Agricultural Products","Louisiana","2018","World Total","14,502,361,713"
"111 Agricultural Products","Maine","2014","World Total","44,862,288"
"111 Agricultural Products","Maine","2015","World Total","32,356,075"
"111 Agricultural Products","Maine","2016","World Total","40,554,492"
"111 Agricultural Products","Maine","2017","World Total","29,687,336"
"111 Agricultural Products","Maine","2018","World Total","20,131,169"
"111 Agricultural Products","Maryland","2014","World Total","55,072,239"
"111 Agricultural Products","Maryland","2015","World Total","33,056,023"
"111 Agricultural Products","Maryland","2016","World Total","27,518,193"
"111 Agricultural Products","Maryland","2017","World Total","36,253,093"
"111 Agricultural Products","Maryland","2018","World Total","44,840,057"
"111 Agricultural Products","Massachusetts","2014","World Total","24,746,086"
"111 Agricultural Products","Massachusetts","2015","World Total","24,200,358"
"111 Agricultural Products","Massachusetts","2016","World Total","23,006,842"
"111 Agricultural Products","Massachusetts","2017","World Total","22,366,650"
"111 Agricultural Products","Massachusetts","2018","World Total","17,612,072"
"111 Agricultural Products","Michigan","2014","World Total","547,930,415"
"111 Agricultural Products","Michigan","2015","World Total","428,025,136"
"111 Agricultural Products","Michigan","2016","World Total","459,610,243"
"111 Agricultural Products","Michigan","2017","World Total","474,936,941"
"111 Agricultural Products","Michigan","2018","World Total","479,157,929"
"111 Agricultural Products","Minnesota","2014","World Total","688,586,983"
"111 Agricultural Products","Minnesota","2015","World Total","542,656,311"
"111 Agricultural Products","Minnesota","2016","World Total","639,248,126"
"111 Agricultural Products","Minnesota","2017","World Total","621,446,983"
"111 Agricultural Products","Minnesota","2018","World Total","501,967,858"
"111 Agricultural Products","Mississippi","2014","World Total","441,159,829"
"111 Agricultural Products","Mississippi","2015","World Total","310,269,197"
"111 Agricultural Products","Mississippi","2016","World Total","306,312,235"
"111 Agricultural Products","Mississippi","2017","World Total","602,389,515"
"111 Agricultural Products","Mississippi","2018","World Total","679,770,819"
"111 Agricultural Products","Missouri","2014","World Total","433,740,765"
"111 Agricultural Products","Missouri","2015","World Total","454,131,261"
"111 Agricultural Products","Missouri","2016","World Total","511,693,397"
"111 Agricultural Products","Missouri","2017","World Total","498,669,458"
"111 Agricultural Products","Missouri","2018","World Total","509,580,548"
"111 Agricultural Products","Montana","2014","World Total","163,427,704"
"111 Agricultural Products","Montana","2015","World Total","142,526,410"
"111 Agricultural Products","Montana","2016","World Total","188,701,277"
"111 Agricultural Products","Montana","2017","World Total","198,504,458"
"111 Agricultural Products","Montana","2018","World Total","98,535,779"
"111 Agricultural Products","Nebraska","2014","World Total","770,510,917"
"111 Agricultural Products","Nebraska","2015","World Total","618,011,974"
"111 Agricultural Products","Nebraska","2016","World Total","772,808,782"
"111 Agricultural Products","Nebraska","2017","World Total","918,600,495"
"111 Agricultural Products","Nebraska","2018","World Total","1,001,678,146"
"111 Agricultural Products","Nevada","2014","World Total","16,737,918"
"111 Agricultural Products","Nevada","2015","World Total","15,681,152"
"111 Agricultural Products","Nevada","2016","World Total","22,645,805"
"111 Agricultural Products","Nevada","2017","World Total","27,902,774"
"111 Agricultural Products","Nevada","2018","World Total","24,055,075"
"111 Agricultural Products","New Hampshire","2014","World Total","7,388,330"
"111 Agricultural Products","New Hampshire","2015","World Total","7,658,024"
"111 Agricultural Products","New Hampshire","2016","World Total","5,124,761"
"111 Agricultural Products","New Hampshire","2017","World Total","5,456,216"
"111 Agricultural Products","New Hampshire","2018","World Total","6,245,079"
"111 Agricultural Products","New Jersey","2014","World Total","542,503,977"
"111 Agricultural Products","New Jersey","2015","World Total","500,347,377"
"111 Agricultural Products","New Jersey","2016","World Total","578,179,207"
"111 Agricultural Products","New Jersey","2017","World Total","571,691,977"
"111 Agricultural Products","New Jersey","2018","World Total","592,151,888"
"111 Agricultural Products","New Mexico","2014","World Total","21,758,508"
"111 Agricultural Products","New Mexico","2015","World Total","19,017,941"
"111 Agricultural Products","New Mexico","2016","World Total","38,286,129"
"111 Agricultural Products","New Mexico","2017","World Total","75,760,623"
"111 Agricultural Products","New Mexico","2018","World Total","64,738,311"
"111 Agricultural Products","New York","2014","World Total","420,767,015"
"111 Agricultural Products","New York","2015","World Total","331,441,665"
"111 Agricultural Products","New York","2016","World Total","346,743,759"
"111 Agricultural Products","New York","2017","World Total","298,169,623"
"111 Agricultural Products","New York","2018","World Total","242,864,383"
"111 Agricultural Products","North Carolina","2014","World Total","1,088,465,494"
"111 Agricultural Products","North Carolina","2015","World Total","1,028,731,561"
"111 Agricultural Products","North Carolina","2016","World Total","1,026,631,492"
"111 Agricultural Products","North Carolina","2017","World Total","930,750,758"
"111 Agricultural Products","North Carolina","2018","World Total","907,368,836"
"111 Agricultural Products","North Dakota","2014","World Total","567,161,696"
"111 Agricultural Products","North Dakota","2015","World Total","610,838,140"
"111 Agricultural Products","North Dakota","2016","World Total","478,548,123"
"111 Agricultural Products","North Dakota","2017","World Total","462,720,900"
"111 Agricultural Products","North Dakota","2018","World Total","507,367,253"
"111 Agricultural Products","Ohio","2014","World Total","1,986,596,593"
"111 Agricultural Products","Ohio","2015","World Total","1,863,949,763"
"111 Agricultural Products","Ohio","2016","World Total","2,248,961,533"
"111 Agricultural Products","Ohio","2017","World Total","1,922,001,433"
"111 Agricultural Products","Ohio","2018","World Total","1,794,827,409"
"111 Agricultural Products","Oklahoma","2014","World Total","179,824,912"
"111 Agricultural Products","Oklahoma","2015","World Total","108,146,524"
"111 Agricultural Products","Oklahoma","2016","World Total","161,304,720"
"111 Agricultural Products","Oklahoma","2017","World Total","201,999,836"
"111 Agricultural Products","Oklahoma","2018","World Total","289,015,679"
"111 Agricultural Products","Oregon","2014","World Total","2,620,066,172"
"111 Agricultural Products","Oregon","2015","World Total","1,627,133,247"
"111 Agricultural Products","Oregon","2016","World Total","1,866,829,041"
"111 Agricultural Products","Oregon","2017","World Total","1,853,942,409"
"111 Agricultural Products","Oregon","2018","World Total","1,920,009,367"
"111 Agricultural Products","Pennsylvania","2014","World Total","163,303,311"
"111 Agricultural Products","Pennsylvania","2015","World Total","131,226,961"
"111 Agricultural Products","Pennsylvania","2016","World Total","164,138,587"
"111 Agricultural Products","Pennsylvania","2017","World Total","164,990,902"
"111 Agricultural Products","Pennsylvania","2018","World Total","174,208,690"
"111 Agricultural Products","Puerto Rico","2014","World Total","23,445,089"
"111 Agricultural Products","Puerto Rico","2015","World Total","26,639,669"
"111 Agricultural Products","Puerto Rico","2016","World Total","26,194,411"
"111 Agricultural Products","Puerto Rico","2017","World Total","20,716,603"
"111 Agricultural Products","Puerto Rico","2018","World Total","8,765,300"
"111 Agricultural Products","Rhode Island","2014","World Total","96,513"
"111 Agricultural Products","Rhode Island","2015","World Total","124,590"
"111 Agricultural Products","Rhode Island","2016","World Total","277,993"
"111 Agricultural Products","Rhode Island","2017","World Total","1,528,880"
"111 Agricultural Products","Rhode Island","2018","World Total","2,075,105"
"111 Agricultural Products","South Carolina","2014","World Total","174,483,508"
"111 Agricultural Products","South Carolina","2015","World Total","150,240,486"
"111 Agricultural Products","South Carolina","2016","World Total","92,067,764"
"111 Agricultural Products","South Carolina","2017","World Total","104,850,519"
"111 Agricultural Products","South Carolina","2018","World Total","195,523,452"
"111 Agricultural Products","South Dakota","2014","World Total","57,256,475"
"111 Agricultural Products","South Dakota","2015","World Total","46,458,018"
"111 Agricultural Products","South Dakota","2016","World Total","29,125,651"
"111 Agricultural Products","South Dakota","2017","World Total","40,427,970"
"111 Agricultural Products","South Dakota","2018","World Total","61,835,652"
"111 Agricultural Products","Tennessee","2014","World Total","586,775,152"
"111 Agricultural Products","Tennessee","2015","World Total","772,514,213"
"111 Agricultural Products","Tennessee","2016","World Total","708,341,738"
"111 Agricultural Products","Tennessee","2017","World Total","747,280,656"
"111 Agricultural Products","Tennessee","2018","World Total","830,931,985"
"111 Agricultural Products","Texas","2014","World Total","4,838,773,671"
"111 Agricultural Products","Texas","2015","World Total","4,139,475,868"
"111 Agricultural Products","Texas","2016","World Total","4,591,636,504"
"111 Agricultural Products","Texas","2017","World Total","5,731,387,532"
"111 Agricultural Products","Texas","2018","World Total","5,577,963,755"
"111 Agricultural Products","US Virgin Islands","2014","World Total","327,331"
"111 Agricultural Products","US Virgin Islands","2015","World Total","150,325"
"111 Agricultural Products","US Virgin Islands","2016","World Total","173,767"
"111 Agricultural Products","US Virgin Islands","2017","World Total","1,167,441"
"111 Agricultural Products","Utah","2014","World Total","77,068,083"
"111 Agricultural Products","Utah","2015","World Total","101,588,237"
"111 Agricultural Products","Utah","2016","World Total","90,722,728"
"111 Agricultural Products","Utah","2017","World Total","86,055,915"
"111 Agricultural Products","Utah","2018","World Total","116,099,277"
"111 Agricultural Products","Vermont","2014","World Total","5,819,726"
"111 Agricultural Products","Vermont","2015","World Total","5,918,740"
"111 Agricultural Products","Vermont","2016","World Total","7,897,674"
"111 Agricultural Products","Vermont","2017","World Total","4,666,890"
"111 Agricultural Products","Vermont","2018","World Total","6,891,591"
"111 Agricultural Products","Virginia","2014","World Total","1,346,259,738"
"111 Agricultural Products","Virginia","2015","World Total","1,097,545,930"
"111 Agricultural Products","Virginia","2016","World Total","1,147,773,453"
"111 Agricultural Products","Virginia","2017","World Total","1,008,320,331"
"111 Agricultural Products","Virginia","2018","World Total","1,170,706,320"
"111 Agricultural Products","Washington","2014","World Total","11,639,308,207"
"111 Agricultural Products","Washington","2015","World Total","9,456,924,842"
"111 Agricultural Products","Washington","2016","World Total","10,190,494,520"
"111 Agricultural Products","Washington","2017","World Total","10,480,572,818"
"111 Agricultural Products","Washington","2018","World Total","10,778,140,635"
"111 Agricultural Products","West Virginia","2014","World Total","255,816"
"111 Agricultural Products","West Virginia","2015","World Total","160,674"
"111 Agricultural Products","West Virginia","2016","World Total","12,093,989"
"111 Agricultural Products","West Virginia","2017","World Total","7,093,238"
"111 Agricultural Products","West Virginia","2018","World Total","740,464"
"111 Agricultural Products","Wisconsin","2014","World Total","450,553,737"
"111 Agricultural Products","Wisconsin","2015","World Total","406,696,675"
"111 Agricultural Products","Wisconsin","2016","World Total","429,047,556"
"111 Agricultural Products","Wisconsin","2017","World Total","485,930,363"
"111 Agricultural Products","Wisconsin","2018","World Total","364,267,766"
"111 Agricultural Products","Wyoming","2014","World Total","7,046,245"
"111 Agricultural Products","Wyoming","2015","World Total","3,617,332"
"111 Agricultural Products","Wyoming","2016","World Total","5,325,054"
"111 Agricultural Products","Wyoming","2017","World Total","4,931,245"
"111 Agricultural Products","Wyoming","2018","World Total","4,842,559"
"111 Agricultural Products","Unknown","2014","World Total","695,747,353"
"111 Agricultural Products","Unknown","2015","World Total","715,898,650"
"111 Agricultural Products","Unknown","2016","World Total","696,630,835"
"111 Agricultural Products","Unknown","2017","World Total","692,577,932"
"111 Agricultural Products","Unknown","2018","World Total","678,293,762"
"112 Livestock & Livestock Products","Alabama","2014","World Total","84,834,304"
"112 Livestock & Livestock Products","Alabama","2015","World Total","51,204,346"
"112 Livestock & Livestock Products","Alabama","2016","World Total","48,558,786"
"112 Livestock & Livestock Products","Alabama","2017","World Total","57,784,280"
"112 Livestock & Livestock Products","Alabama","2018","World Total","85,240,965"
"112 Livestock & Livestock Products","Alaska","2014","World Total","516,770"
"112 Livestock & Livestock Products","Alaska","2015","World Total","1,556,256"
"112 Livestock & Livestock Products","Alaska","2016","World Total","433,768"
"112 Livestock & Livestock Products","Alaska","2017","World Total","308,650"
"112 Livestock & Livestock Products","Alaska","2018","World Total","475,514"
"112 Livestock & Livestock Products","Arizona","2014","World Total","15,362,928"
"112 Livestock & Livestock Products","Arizona","2015","World Total","5,712,277"
"112 Livestock & Livestock Products","Arizona","2016","World Total","5,299,713"
"112 Livestock & Livestock Products","Arizona","2017","World Total","8,274,538"
"112 Livestock & Livestock Products","Arizona","2018","World Total","7,503,194"
"112 Livestock & Livestock Products","Arkansas","2014","World Total","121,261,376"
"112 Livestock & Livestock Products","Arkansas","2015","World Total","154,347,355"
"112 Livestock & Livestock Products","Arkansas","2016","World Total","191,342,138"
"112 Livestock & Livestock Products","Arkansas","2017","World Total","177,815,740"
"112 Livestock & Livestock Products","Arkansas","2018","World Total","186,559,433"
"112 Livestock & Livestock Products","California","2014","World Total","88,544,020"
"112 Livestock & Livestock Products","California","2015","World Total","78,715,455"
"112 Livestock & Livestock Products","California","2016","World Total","80,775,830"
"112 Livestock & Livestock Products","California","2017","World Total","96,472,546"
"112 Livestock & Livestock Products","California","2018","World Total","75,280,538"
"112 Livestock & Livestock Products","Colorado","2014","World Total","1,443,885"
"112 Livestock & Livestock Products","Colorado","2015","World Total","1,420,756"
"112 Livestock & Livestock Products","Colorado","2016","World Total","1,864,562"
"112 Livestock & Livestock Products","Colorado","2017","World Total","4,701,598"
"112 Livestock & Livestock Products","Colorado","2018","World Total","7,833,658"
"112 Livestock & Livestock Products","Connecticut","2014","World Total","5,614,088"
"112 Livestock & Livestock Products","Connecticut","2015","World Total","5,487,942"
"112 Livestock & Livestock Products","Connecticut","2016","World Total","4,282,012"
"112 Livestock & Livestock Products","Connecticut","2017","World Total","6,831,224"
"112 Livestock & Livestock Products","Connecticut","2018","World Total","6,577,760"
"112 Livestock & Livestock Products","Delaware","2014","World Total","13,557,402"
"112 Livestock & Livestock Products","Delaware","2015","World Total","4,147,937"
"112 Livestock & Livestock Products","Delaware","2016","World Total","2,541,684"
"112 Livestock & Livestock Products","Delaware","2017","World Total","2,514,094"
"112 Livestock & Livestock Products","Delaware","2018","World Total","387,285"
"112 Livestock & Livestock Products","Dist of Columbia","2014","World Total","41,226"
"112 Livestock & Livestock Products","Dist of Columbia","2015","World Total","5,851"
"112 Livestock & Livestock Products","Dist of Columbia","2017","World Total","1,004,455"
"112 Livestock & Livestock Products","Florida","2014","World Total","115,316,095"
"112 Livestock & Livestock Products","Florida","2015","World Total","110,446,453"
"112 Livestock & Livestock Products","Florida","2016","World Total","67,776,179"
"112 Livestock & Livestock Products","Florida","2017","World Total","90,371,321"
"112 Livestock & Livestock Products","Florida","2018","World Total","94,269,213"
"112 Livestock & Livestock Products","Georgia","2014","World Total","148,456,476"
"112 Livestock & Livestock Products","Georgia","2015","World Total","121,487,821"
"112 Livestock & Livestock Products","Georgia","2016","World Total","129,663,377"
"112 Livestock & Livestock Products","Georgia","2017","World Total","110,877,268"
"112 Livestock & Livestock Products","Georgia","2018","World Total","106,402,123"
"112 Livestock & Livestock Products","Hawaii","2014","World Total","4,339,215"
"112 Livestock & Livestock Products","Hawaii","2015","World Total","4,069,524"
"112 Livestock & Livestock Products","Hawaii","2016","World Total","4,734,238"
"112 Livestock & Livestock Products","Hawaii","2017","World Total","5,854,292"
"112 Livestock & Livestock Products","Hawaii","2018","World Total","5,087,552"
"112 Livestock & Livestock Products","Idaho","2014","World Total","15,484,860"
"112 Livestock & Livestock Products","Idaho","2015","World Total","9,041,979"
"112 Livestock & Livestock Products","Idaho","2016","World Total","4,215,840"
"112 Livestock & Livestock Products","Idaho","2017","World Total","20,890,146"
"112 Livestock & Livestock Products","Idaho","2018","World Total","37,873,077"
"112 Livestock & Livestock Products","Illinois","2014","World Total","50,243,010"
"112 Livestock & Livestock Products","Illinois","2015","World Total","38,458,671"
"112 Livestock & Livestock Products","Illinois","2016","World Total","34,489,187"
"112 Livestock & Livestock Products","Illinois","2017","World Total","29,769,275"
"112 Livestock & Livestock Products","Illinois","2018","World Total","29,301,124"
"112 Livestock & Livestock Products","Indiana","2014","World Total","22,353,949"
"112 Livestock & Livestock Products","Indiana","2015","World Total","14,941,164"
"112 Livestock & Livestock Products","Indiana","2016","World Total","13,686,214"
"112 Livestock & Livestock Products","Indiana","2017","World Total","20,939,744"
"112 Livestock & Livestock Products","Indiana","2018","World Total","12,970,715"
"112 Livestock & Livestock Products","Iowa","2014","World Total","32,709,232"
"112 Livestock & Livestock Products","Iowa","2015","World Total","20,020,694"
"112 Livestock & Livestock Products","Iowa","2016","World Total","24,666,840"
"112 Livestock & Livestock Products","Iowa","2017","World Total","24,649,303"
"112 Livestock & Livestock Products","Iowa","2018","World Total","28,955,613"
"112 Livestock & Livestock Products","Kansas","2014","World Total","6,110,130"
"112 Livestock & Livestock Products","Kansas","2015","World Total","6,234,499"
"112 Livestock & Livestock Products","Kansas","2016","World Total","7,168,652"
"112 Livestock & Livestock Products","Kansas","2017","World Total","7,835,268"
"112 Livestock & Livestock Products","Kansas","2018","World Total","15,553,717"
"112 Livestock & Livestock Products","Kentucky","2014","World Total","259,051,906"
"112 Livestock & Livestock Products","Kentucky","2015","World Total","214,610,017"
"112 Livestock & Livestock Products","Kentucky","2016","World Total","257,252,103"
"112 Livestock & Livestock Products","Kentucky","2017","World Total","261,251,061"
"112 Livestock & Livestock Products","Kentucky","2018","World Total","350,030,741"
"112 Livestock & Livestock Products","Louisiana","2014","World Total","5,566,714"
"112 Livestock & Livestock Products","Louisiana","2015","World Total","4,138,739"
"112 Livestock & Livestock Products","Louisiana","2016","World Total","2,643,798"
"112 Livestock & Livestock Products","Louisiana","2017","World Total","1,943,447"
"112 Livestock & Livestock Products","Louisiana","2018","World Total","1,940,553"
"112 Livestock & Livestock Products","Maine","2014","World Total","56,859,089"
"112 Livestock & Livestock Products","Maine","2015","World Total","37,659,571"
"112 Livestock & Livestock Products","Maine","2016","World Total","101,011,632"
"112 Livestock & Livestock Products","Maine","2017","World Total","63,002,029"
"112 Livestock & Livestock Products","Maine","2018","World Total","91,993,081"
"112 Livestock & Livestock Products","Maryland","2014","World Total","6,126,258"
"112 Livestock & Livestock Products","Maryland","2015","World Total","5,959,189"
"112 Livestock & Livestock Products","Maryland","2016","World Total","4,412,594"
"112 Livestock & Livestock Products","Maryland","2017","World Total","5,523,740"
"112 Livestock & Livestock Products","Maryland","2018","World Total","9,708,307"
"112 Livestock & Livestock Products","Massachusetts","2014","World Total","19,273,980"
"112 Livestock & Livestock Products","Massachusetts","2015","World Total","21,930,164"
"112 Livestock & Livestock Products","Massachusetts","2016","World Total","17,234,600"
"112 Livestock & Livestock Products","Massachusetts","2017","World Total","17,384,967"
"112 Livestock & Livestock Products","Massachusetts","2018","World Total","16,031,717"
"112 Livestock & Livestock Products","Michigan","2014","World Total","17,687,772"
"112 Livestock & Livestock Products","Michigan","2015","World Total","14,971,428"
"112 Livestock & Livestock Products","Michigan","2016","World Total","16,749,437"
"112 Livestock & Livestock Products","Michigan","2017","World Total","11,438,760"
"112 Livestock & Livestock Products","Michigan","2018","World Total","11,705,414"
"112 Livestock & Livestock Products","Minnesota","2014","World Total","21,675,835"
"112 Livestock & Livestock Products","Minnesota","2015","World Total","8,587,670"
"112 Livestock & Livestock Products","Minnesota","2016","World Total","12,750,871"
"112 Livestock & Livestock Products","Minnesota","2017","World Total","15,588,331"
"112 Livestock & Livestock Products","Minnesota","2018","World Total","21,111,840"
"112 Livestock & Livestock Products","Mississippi","2014","World Total","3,756,142"
"112 Livestock & Livestock Products","Mississippi","2015","World Total","1,046,715"
"112 Livestock & Livestock Products","Mississippi","2016","World Total","1,911,566"
"112 Livestock & Livestock Products","Mississippi","2017","World Total","3,143,699"
"112 Livestock & Livestock Products","Mississippi","2018","World Total","3,869,860"
"112 Livestock & Livestock Products","Missouri","2014","World Total","3,406,741"
"112 Livestock & Livestock Products","Missouri","2015","World Total","5,398,286"
"112 Livestock & Livestock Products","Missouri","2016","World Total","2,753,365"
"112 Livestock & Livestock Products","Missouri","2017","World Total","5,756,804"
"112 Livestock & Livestock Products","Missouri","2018","World Total","10,194,302"
"112 Livestock & Livestock Products","Montana","2014","World Total","6,076,072"
"112 Livestock & Livestock Products","Montana","2015","World Total","5,974,562"
"112 Livestock & Livestock Products","Montana","2016","World Total","13,545,036"
"112 Livestock & Livestock Products","Montana","2017","World Total","48,264,408"
"112 Livestock & Livestock Products","Montana","2018","World Total","43,640,150"
"112 Livestock & Livestock Products","Nebraska","2014","World Total","1,077,982"
"112 Livestock & Livestock Products","Nebraska","2015","World Total","2,754,580"
"112 Livestock & Livestock Products","Nebraska","2016","World Total","2,219,847"
"112 Livestock & Livestock Products","Nebraska","2017","World Total","1,482,875"
"112 Livestock & Livestock Products","Nebraska","2018","World Total","1,747,176"
"112 Livestock & Livestock Products","Nevada","2014","World Total","757,437"
"112 Livestock & Livestock Products","Nevada","2015","World Total","3,616,778"
"112 Livestock & Livestock Products","Nevada","2016","World Total","1,288,522"
"112 Livestock & Livestock Products","Nevada","2017","World Total","887,217"
"112 Livestock & Livestock Products","Nevada","2018","World Total","394,398"
"112 Livestock & Livestock Products","New Hampshire","2014","World Total","603,021"
"112 Livestock & Livestock Products","New Hampshire","2015","World Total","627,950"
"112 Livestock & Livestock Products","New Hampshire","2016","World Total","544,229"
"112 Livestock & Livestock Products","New Hampshire","2017","World Total","485,768"
"112 Livestock & Livestock Products","New Hampshire","2018","World Total","2,972,867"
"112 Livestock & Livestock Products","New Jersey","2014","World Total","22,425,812"
"112 Livestock & Livestock Products","New Jersey","2015","World Total","46,641,478"
"112 Livestock & Livestock Products","New Jersey","2016","World Total","33,620,424"
"112 Livestock & Livestock Products","New Jersey","2017","World Total","16,125,437"
"112 Livestock & Livestock Products","New Jersey","2018","World Total","25,970,304"
"112 Livestock & Livestock Products","New Mexico","2014","World Total","6,166,200"
"112 Livestock & Livestock Products","New Mexico","2015","World Total","5,592,798"
"112 Livestock & Livestock Products","New Mexico","2016","World Total","4,277,587"
"112 Livestock & Livestock Products","New Mexico","2017","World Total","8,634,607"
"112 Livestock & Livestock Products","New Mexico","2018","World Total","10,730,737"
"112 Livestock & Livestock Products","New York","2014","World Total","56,760,521"
"112 Livestock & Livestock Products","New York","2015","World Total","48,570,857"
"112 Livestock & Livestock Products","New York","2016","World Total","43,771,194"
"112 Livestock & Livestock Products","New York","2017","World Total","70,261,325"
"112 Livestock & Livestock Products","New York","2018","World Total","68,221,844"
"112 Livestock & Livestock Products","North Carolina","2014","World Total","17,517,146"
"112 Livestock & Livestock Products","North Carolina","2015","World Total","11,302,271"
